
##### Table #####,Adventure
累积3 次达到 Rank 3 [ 10% ] 以上,Reach Rank 3 [10%] or higher 3x
符文首席中级优等,Mid Level Rune Chief (A+)
累积5 次达到 Rank 3 [ 50% ] 以上,Reach Rank 3 [50%] or higher 5x
符文首席初级优等,Entry Level Rune Chief (A+)
累积10 次达到 Rank 3 [ 75% ] 以上,Reach Rank 3 [75%] or higher 10x
见习,Trainee
学徒,Disciple
首席,Chief
贤者,Master
"阶级
排名","Level
Rank"
Rank Up！,Rank Up!
"恭喜！你已经成功晋升至 {[tier]} 了！
祝你在幻境试炼中展现更高的符文成就",Congrats! You've reached {[tier]}! We hope you reach even greater success in the Wonderland Trials
你的幻境阶级已更新为 {[tier]},Your Wonderland Trials level has been upgraded to {[tier]}
##### Table #####,Avatars
Key,Korean
String,String
##### Data #####
1,디폴트 아이콘
2,구루왈트 SSR 획득
3,헤스티아 SSR 획득
4,야미츠키 SSR 획득
5,묘안 SSR 획득
6,오스타 SSR 획득
7,로저 SSR 획득
8,티카 SSR 획득
9,실험체 SSR 획득
10,콜 SSR 획득
11,팡 SSR 획득
12,나야 SSR 획득
13,노바 SSR 획득
14,시온 SSR 획득
15,안젤리아 SSR 획득
16,딜런 SSR 획득
17,시어도어 SSR 획득
18,자한 SSR 획득
19,샤를 SSR 획득
20,파티마 SSR 획득
21,얀보 SSR 획득
22,카누라 SSR 획득
23,나이젤 SSR 획득
24,료 SSR 획득
25,리 SSR 획득
26,칼날 SSR 획득
27,어금니 SSR 획득
28,셜록 SSR 획득
29,네드 SSR 획득
30,리사 SSR 획득
31,푸찌 SSR 획득
32,샤리스 SSR 획득
33,샤리스 SSR 획득
34,특정 이벤트에서 획득
35,프렐리카 SSR 획득
36,안젤리아 SP SSR 획득
37,시온 SP SSR 획득
38,《만상의 선구자》 이벤트 획득
39,《만상의 선구자》 이벤트 획득
40,《만상의 선구자》 이벤트 획득
41,《만상의 선구자》 이벤트 획득
42,《만상의 선구자》 이벤트 획득
43,《만상의 선구자》 이벤트 획득
44,《왕가의 사냥 이벤트》이벤트 획득
45,딜런 SP SSR 획득
46,셜리 SSR 획득
47,야미츠키 SP SSR 획득
48,나이젤 SP SSR 획득
49,《단오절 in Sdorica》이벤트 획득
50,이즈미 SSR 획득
51,묘안SP SSR 획득
52,카렌 SSR 획득
53,2부 소설 초판 한정 선물
54,2부 소설 초판 한정 선물
55,환상세계의 시련 《룬 실전Easy 합격》획득
56,환상세계의 시련 《룬 실전Easy S로 합격》획득
57,환상세계의 시련 《룬 실전Normal 합격》획득
58,환상세계의 시련 《룬 실전Normal S로 합격》획득
59,환상세계의 시련 《룬 실전Hard 합격》획득
60,환상세계의 시련 《룬 실전Hard S로 합격》획득
61,환상세계의 시련 《룬 실전Special 합격》획득
62,환상세계의 시련 《룬 실전Special S로 합격》획득
63,환상세계의 시련 《룬 실전Extreme 합격》획득
64,환상세계의 시련 《룬 실전Extreme S로 합격》획득
65,《처음으로 마법사가 되다》이벤트 획득
66,리사 SP SSR 획득
67,료 SP SSR 획득
68,리 SP SSR 획득
69,《달 위에 떨어진 토끼들》이벤트 획득
70,엘리오 SSR 획득
71,노바 SP SSR 획득
72,티카 SP SSR 획득
73,Deemo SSR 획득
74,앨리스 SSR 획득
75,가면의 소녀 SSR 획득
76,《SdoricaxDEEMO》이벤트 획득
77,파티마 SP SSR 획득
78,하이드 SSR 획득
79,헤스티아 SP SSR 획득
80,팡 SP SSR 획득
81,【두근두근 선물 상자】획득
82,제롬 SSR 획득
83,바보 웅전사 SSR 획득
84,샤를 SP SSR 획득
85,【필리스】 휘파람 협곡에 활짝 핀 꽃. 아카데미의 연구로 인한 생태계 변화로 오랜 세월 동안 이 꽃을 실제로 본 사람은 없다고 한다.
86,모리스 SSR 획득
87,소피 SSR 획득
88,룬 SSR 획득
89,【미라지의 보물】획득
90,《단오절 in Sdorica》이벤트 획득
91,미사 SSR 획득
92,디비어스 SSR 획득
93,자센 SSR 획득
94,로우 SSR 획득
95,나야 MZ SSR 획득
96,샤리스 MZ SSR 획득
97,안젤리아 MZ SSR 획득
98,시온 MZ SSR 획득
99,한여름의 바캉스 이벤트에서 신사의 멋진 자태를 담아냄.
100,마리아 SSR 획득
101,이즈미 SP SSR 획득
102,레이저 SSR 획득
103,셜리 SP SSR 획득
104,다이애나 SSR 획득
105,소피 SP SSR 획득
106,잔느 SSR 획득
107,프렐리카 SP SSR 획득
108,PAFF SSR 획득
109,NEKO#ΦωΦ SSR 획득
110,Nora SSR 획득
111,Ivy SSR 획득
112,클락 SSR 획득
113,《만월의 기묘한 수사》이벤트 획득
114,【호박왕의 보물】획득
115,환상세계의 시련 《룬 수습 고급 합격》획득
116,환상세계의 시련 《룬 견습 고급 합격》획득
117,환상세계의 시련 《룬 견습 고급 (A+)》획득
118,환상세계의 시련 《룬 견습 중급(A+)》획득
119,환상세계의 시련 《룬 견습 초급(A+)》획득
120,환상세계의 시련 《룬 수석 고급 합격》획득
121,환상세계의 시련 《룬 수석 특급 합격》획득
122,환상세계의 시련 《룬 수석 고급(A+)》획득
123,환상세계의 시련 《룬 수석 특급(A+)》획득
124,환상세계의 시련 《룬 수석 중급(A+)》획득
125,환상세계의 시련 《룬 수석 초급(A+)》획득
126,【크리스마스 용사의 대모험】획득
127,《Reset》이벤트 획득
128,《Reset》이벤트 획득
129,《Reset》이벤트 획득
130,《Reset》이벤트 획득
131,《행상인의 미래 쟁취기 》이벤트 획득
132,《행상인의 미래 쟁취기 》이벤트 획득
133,《행상인의 미래 쟁취기 》이벤트 획득
134,【두근두근 선물 상자】획득
135,마리아 SP SSR 획득
136,미란다 SSR 획득
137,제롬 SP SSR 획득
138,리 MZ SSR 획득
139,프렐리카 MZ SSR 획득
140,야미츠키 MZ SSR 획득
141,이즈미 MZ SSR 획득
142,젠윈 SSR 획득
144,용현 SSR 획득
145,쟈샤파 SSR 획득
147,리화 SSR 획득
150,야킨토스 SP SSR 획득
151,특정 이벤트에서 획득
152,《발자크의 유산 》이벤트 획득
153,《발자크의 유산 》이벤트 획득
154,로그인 누적 1000일 획득
155,《한여름의 바캉스》이벤트 획득
157,《2주년 축하 투표 이벤트》보상
158,《2주년 축하 투표 이벤트》보상
159,《2주년 축하 투표 이벤트》보상
160,《2주년 축하 투표 이벤트》보상
161,《2주년 축하 투표 이벤트》보상
162,《2주년 축하 투표 이벤트》보상
163,<여름날의 세레모니> 이벤트 획득
164,<여름날의 세레모니> 이벤트 획득
165,<여름날의 세레모니> 이벤트 획득
166,<여름날의 세레모니> 이벤트 획득
167,<여름날의 세레모니> 이벤트 획득
168,<여름날의 세레모니> 이벤트 획득
169,<사랑은 운명이 아닌 선택> 이벤트 획득
170,<사랑은 운명이 아닌 선택> 이벤트 획득
171,<사랑은 운명이 아닌 선택> 이벤트 획득
172,【시즌3 기념 기프트팩】획득
173,累积充值福利活动取得
174,累积充值福利活动取得
175,累积充值福利活动取得
1001,태양왕국의 모험가에서 신입 병사를 팀원으로 초대할 수 있습니다.
1002,태양왕국의 모험가에서 상인을 팀원으로 초대할 수 있습니다.
1003,태양왕국의 모험가에서 마물 매니아를 팀원으로 초대할 수 있습니다.
1004,태양왕국의 모험가에서 마물 수렵단원을 팀원으로 초대할 수 있습니다
1005,태양왕국의 모험가에서 현상금 사냥꾼 사관을 팀원으로 초대할 수 있습니다
1006,태양왕국의 모험가에서 실험체가 바위를 제거할 때 사용됩니다.(20회)
1007,태양왕국의 모험가에서 딜런이 병사들을 격려할 때 사용됩니다.(5회)
1008,태양왕국의 모험가에서 시온이 병사들을 격려할 때 사용됩니다.(5회)
1009,태양왕국의 모험가에서 프렐리카가 병사들을 격려할 때 사용됩니다.(5회)
1010,태양왕국의 모험가에서 칼날이 바위를 제거할 때 사용됩니다.(20회)
1011,청공기담에서 실종된 아이와 조우하여 1엔딩을 클리어
1012,청공기담에서 협박당한 상인과 조우하여 1엔딩을 클리어
1013,마물 대이동에서 촌장과 도적의 소굴 사건을 조우하여 1엔딩을 클리어
1014,염일군단에서 지휘관의 고충과 조우하여 1엔딩을 클리어
1015,야수의 정점 결정전에서 우승
1016,경기장에서 5회 승리
1017,시장에서 수집가의 퍼즐을 사용하여 교환
1018,시장에서 수집가의 퍼즐을 사용하여 교환
1019,시장에서 수집가의 퍼즐을 사용하여 교환
1020,시장에서 수집가의 퍼즐을 사용하여 교환
1021,시장에서 수집가의 퍼즐을 사용하여 교환
1022,시장에서 수집가의 퍼즐을 사용하여 교환
1023,시장에서 수집가의 퍼즐을 사용하여 교환
1024,시장에서 수집가의 퍼즐을 사용하여 교환
1025,시장에서 수집가의 퍼즐을 사용하여 교환
1026,시장에서 수집가의 퍼즐을 사용하여 교환
1027,시장에서 수집가의 퍼즐을 사용하여 교환
1028,시장에서 수집가의 퍼즐을 사용하여 교환
1029,시장에서 수집가의 퍼즐을 사용하여 교환
1030,시장에서 수집가의 퍼즐을 사용하여 교환
1031,시장에서 수집가의 퍼즐을 사용하여 교환
1032,시장에서 수집가의 퍼즐을 사용하여 교환
1033,시장에서 수집가의 퍼즐을 사용하여 교환
1034,시장에서 수집가의 퍼즐을 사용하여 교환
1035,시장에서 수집가의 퍼즐을 사용하여 교환
1036,시장에서 수집가의 퍼즐을 사용하여 교환
1037,시장에서 수집가의 퍼즐을 사용하여 교환
1038,시장에서 수집가의 퍼즐을 사용하여 교환
1039,시장에서 수집가의 퍼즐을 사용하여 교환
1040,시장에서 수집가의 퍼즐을 사용하여 교환
1041,시장에서 수집가의 퍼즐을 사용하여 교환
1042,시장에서 수집가의 퍼즐을 사용하여 교환
1043,시장에서 수집가의 퍼즐을 사용하여 교환
1044,시장에서 수집가의 퍼즐을 사용하여 교환
1045,시장에서 수집가의 퍼즐을 사용하여 교환
1046,시장에서 수집가의 퍼즐을 사용하여 교환
1047,시장에서 수집가의 퍼즐을 사용하여 교환
1048,시장에서 수집가의 퍼즐을 사용하여 교환
1049,시장에서 수집가의 퍼즐을 사용하여 교환
1050,시장에서 수집가의 퍼즐을 사용하여 교환
3184,용현 SSR 획득
3185,쟈샤파 SSR 획득
##### Table #####,AVGText
Chinese,Korean
String,String
##### Data #####
,
##### Table #####,Buff
ChineseSimplified,English
String,String
##### Data #####
,
强化:每层强化提升本角色30%的技能效果，最高3层。,Enhance: Increase skill power by 30% for each stack. 3 stacks max.
减伤:被攻击时，每层减伤降低30%技能效果，最高3层。,"Damage Reduction: Upon incoming damage skill, decrease skill power by 30% for each stack. 3 stacks max."
灵巧:被攻击时，每层灵巧有30%机会闪躲伤害，最高3层。,"Vigilance: Upon incoming damage skill, 30% chance to evade damage for each stack. 3 stacks max."
转盾:被攻击后，每层转盾获得总护盾值10%的护盾，最高3层。,"Tank Up: Upon incoming damage skill, grant self Armor equal to 10% max Armor for each stack. 3 stacks max."
盾转:自身回合结束时，每层盾转让本角色获得当前护盾量30%的血量，最高3层。,"Armor Shift: Upon the end of self-turn, grant self HP equal to 30% of current Armor for each stack. 3 stacks max."
再生:自身回合结束时，每层再生恢复总血量的10%，最高3层，被攻击后解除。,"Regen: Upon the end of self-turn, heal self 10% max HP for each stack. 3 stacks max. Remove upon incoming damage skill."
怒气:每层怒气提升本角色30%的技能效果，最高3层，被攻击后增加1层。,"Rage: Increase skill power by 30% for each stack. 3 stacks max. Upon incoming damage skill, grant self 1 stack."
战意:每层战意提升本角色30%的技能效果，最高3层，施展技能后增加1层。,"War Cry: Increase skill power by 30% for each stack. 3 stacks max. Upon cast skill, grant self 1 stack."
领袖：每层领袖提升本角色同伴30%的技能效果，最高3层。,Charisma: Increase all allies' skill power by 30% for each stack. 3 stacks max. 
弱化:每层弱化降低本角色30%的技能效果，最高3层。,Exhaust: Decrease skill power by 30% for each stack. 3 stacks max.
易伤:被攻击时，每层易伤增加30%技能效果，最高3层。,"Vulnerability: Upon incoming damage skill, increase skill power by 30% for each stack. 3 stacks max."
撕裂:施展技能后，每层撕裂失去现有10%血量，最高3层。,"Tear: Upon cast skill, lose 10% current HP for each stack. 3 stacks max."
中毒:自身回合结束时，每层中毒失去现有10%血量，最高3层，被治愈后解除。,"Poison: Upon the end of self-turn, lose 10% current HP for each stack. 3 stacks max. Remove upon receive Heal."
晕眩:本角色目前无法施展技能，被攻击后解除。,Stun: Can't cast skill. Remove upon incoming damage skill.
污染：有此效果的角色行动时，若血量未满则获得3层中毒,"Infection: Upon cast skill, if not at full HP, grant self 3 stacks Poison."
污染：战斗后不会移除，有此效果的角色行动时，若血量未满则获得3层中毒。,"Infection: Will not be removed at the end of the battle. Upon the casting of a skill, if not at full HP, grant self 3 stacks Poison."
寒冷：自身回合开始时，每层寒冷使血量无法超过80%/60%/40%，被叠盾后解除。,"Frostbite: Upon this character's turn, causes HP to max at 80%/60%/40% for each stack. 3 stacks max. Upon receive Armor, remove Frostbite."
燃烧：自身回合结束时，每层燃烧失去5%总血量，最高3层，技能目标获得燃烧。,"Burn: Upon the end of this character's turn, lose 5% max HP per stack. 3 stacks max. Upon cast skill, grant target Burn."
延命：使角色不会死亡，并大幅降低治愈与叠盾技能效果，此效果不会在战斗结束时移除。,Undead: Will not die even if HP becomes 0. Will be unaffected by Heal and grant Armor skills.This effect will not be removed at the end of the battle.
窒息：自身回合开始以及施展技能后增加1层窒息，累积达14层窒息立即死亡。,"Asphyxia: Upon the start of player's turn, add 1 stack Asphyxia after skill cast. At 14 stacks, trigger character's death"
嘲讽:本角色成为优先被指定的目标。,Taunt: Become primary target.
韧性：每回合结束时，移除自身所有负面状态。,"Tenacity: Upon the end of turn, remove all debuffs from self."
韧性：每回合结束时，移除自身所有负面状态。,"Tenacity: Upon the end of turn, remove all debuffs from self."
抗体：立即移除自己身上的负面状态。,Antibody: Remove all debuffs from self immediately.
免疫:本角色此时不会受到任何伤害。,Invincibility: Take no damage. 
无视强化：被攻击时，无视该攻击的强化效果。,"Ignore Enhance: Upon incoming damage skill, immune to Enhance.  "
反射：被攻击时，攻击者失去本角色护盾损伤的血量。,"Reflect: Upon incoming damage skill, attacker takes damage equal to the amount of Armor lost."
反射：被攻击时，攻击者受到等同本角色护盾损伤相同的伤害；反射为基础攻击，但不视为攻击效果。,"Reflect: Upon incoming damage skill, attacker takes damage equal to the amount of Armor lost. Reflect is not taken as an Attack."
伤害反弹：本角色受到伤害时，敌方全体失去相同的血量。,"Mirror Force: Upon incoming damage skill, all player characters lose HP equal to damage taken."
伤害反弹：本角色受到伤害时，敌方全体失去相同的血量。,"Mirror Force: Upon incoming damage skill, all player characters lose HP equal to damage taken."
伤害反弹：本角色受到伤害时，敌方全体受到相同的伤害；伤害反弹不视为攻击效果。,"Mirror Force: Upon taking damage, inflict same amount of damage to all player characters. This is not treated as an Attack skill."
伤害反弹：本角色受到伤害时，敌方全体受到相同的伤害；伤害反弹不视为攻击效果。,
"伤害反弹：本角色因攻击技能受到伤害时，敌方全体受到相同的伤害；伤害反弹为基础攻击，但不视为攻击效果。
【触发限制】：直到下次本角色回合开始前，不会重复触发伤害反弹","Mirror Force: Upon incoming damage skill, all enemies lose HP equal to damage taken. Mirror Force is an Attack, but is not treated as an Attack skill.
Trigger limit: Until the start of this character’s next turn, Mirror Force will not be re-triggered."
"伤害反弹：本角色因攻击技能受到伤害时，敌方全体受到相同的伤害；伤害反弹为基础攻击，但不视为攻击效果。
【触发限制】：直到下次本角色回合开始前，不会重复触发伤害反弹","Mirror Force: Upon incoming damage skill, all enemies lose HP equal to damage taken. Mirror Force is an Attack, but is not treated as an Attack skill.
Trigger limit: Until the start of this character’s next turn, Mirror Force will not be re-triggered."
长效：本角色身上的正面与负面状态会在战斗结束后不会被移除。,Lasting: All buffs and debuffs this character has will not be removed at the end of each battle.
黑暗领域：所有角色施放招式前，失去身上所有的正面状态。,"Dark Zone: Before any character cast skills, lose all Buffs."
业障：玩家回合开始时，赋予自身嘲讽。无法被同伴的技能治愈与叠盾。,"Guilt: Upon player's turn, grant self Taunt. Can't be affected by allies' Heal and grant Armor skills."
尸臭：战斗后不会移除，玩家回合开始，若本角色死亡会随机赋予1个同伴晕眩。,"Decay: Won't be removed after battle. Upon player's turn, if this character is downed, grant random ally Stun."
不净：战斗后不会移除，玩家回合开始，本角色获得随机1个负面状态。,"Filth: Won't be removed after battle. Upon player's turn, grant this character a random debuff."
锐利：每层锐利提升本角色10%技能效果，施展技能后提升1层，最高30层。,"Sharpness: Each stack of Sharpness increase self skill power by 10%. Upon cast skill, grant self 1 stack. 30 stacks max."
解除：本角色的攻击技能会移除其目标身上的正面状态。,Release: This character's basic attack will remove all of target's Buffs
魂能屏障:免疫1次攻击。,Soul Shield: Immune to next incoming damage skill.
围剿:攻击角色时提升层数，1层使攻击效果上升50%，最高4层，攻击其他角色后消失,"Gang Up: Upon incoming damage skill, add 1 extra stack, increase skill power by 50% for each stack. 4 stacks max. Upon cast damage skills against other characters, remove this buff."
踉跄：有此状态的角色被攻击后会获得两回合晕眩。,"Stumble: Upon incoming damage skill, grant self Stun for 2 turns."
金位角色的攻击技能效果对本角色增加50%。,Gold character's damage skills have 50% increase in skill power when targeting this character.
黑位角色的攻击技能效果对本角色增加50%。,Black character's damage skills have 50% increase in skill power when targeting this character.
白位角色的攻击技能效果对本角色增加50%。,White character's damage skills have 50% increase in skill power when targeting this character.
基础攻击技能效果对本角色增加50%。,Attack skills have 50% increase in skill power when targeting this character.
破甲攻击技能效果对本角色增加50%。,Armor Penetration skills have 50% increase in skill power when targeting this character.
穿透攻击技能效果对本角色增加50%。,True Damage skills have 50% increase in skill power when targeting this character.
同伴被满血一击击杀后，本角色会执行某种有利玩家的行动。,"If an ally with full HP dies in one hit, this character will do something that's advantageous to the player."
本角此时死亡，会执行某种有利玩家的行动。,"If this character dies now, it will do something that's advantageous to the player."
我方回合开始时，若本角色落单获得5回合免疫并移除本状态。,"Upon player's turn, if no allies are present, grant self Invincibility for 5 turns and remove this status effect."
攻击时，无视该角色的减伤效果。,"Upon cast skill, immune to target Damage Reduction. "
被攻击时，无视所有基础攻击的伤害效果。,"Upon incoming damage skill, immune to all Attack effects."
被攻击时，无视所有破甲攻击的伤害效果。,"Upon incoming damage skill, immune to all Armor Penetration effects."
被攻击时，无视所有穿透攻击的伤害效果。,"Upon incoming damage skill, immune to all True Damage effects."
被攻击时，无视所有一魂技能的伤害效果。,"Upon incoming damage skill, immune to 1-orb skill. "
被攻击时，无视所有二魂技能的伤害效果。,"Upon incoming damage skill, immune to 2-orb skill."
没有护盾的角色无法对本角色造成有效的伤害。,Characters without Armor can't cause damage to this character
攻击时，无视嘲讽的效果。,"Upon cast skill, immune to Taunt."
累积达3层时本角色立刻复活。,"Upon 3 stacks, Resurrect"
拟像：被攻击时，技能效果下降99%，并移除自身拟像。,"Duplicate: After being attacked, skill power decreases 99% and the replica disappears."
安可：提升本角色30%的技能系数，最高一层。,"Encore: Increase character's skill ratio by 30%, 1 stack max"
本角色在目标拥有灵巧时无法击中目标,"If target has Vigilance, this unit is unable to hit the target"
本角色会立即解除自身的晕眩。,Will immediately remove Stun from self.
玩家回合结束后增加1层，36层时玩家全体角色死亡。,"Upon end of player's turn, add 1 stack. After 36 stacks, trigger death of all allies."
这场战斗你没有胜算，只能咬牙苦撑！,You have no chance in winning this battle! All you can do is grind your teeth and hold on!
锻钢：被攻击时，每层锻钢降低10%技能系数，最高9层。本角色被攻击后增加一层。,"Forging: Upon incoming damage skill, decrease skill ratio by 10% for each stack. 9 stacks max. After this character is attacked, grant self 1 stack."
防守大师：在玩家回合中被攻击时，降低90%技能系数。,"Defense Master: If attacked during player's turn, decrease skill ratio by 90%"
嫉妒：被攻击时，降低等同于技能发动者血量百分比的技能系数。,"Jealous: Upon incoming damage skill, decrease skill ratio equal to the HP percentage of the character who casts the skill"
吸吮：敌方角色行动后，夺取其所有正面状态。,"Absorb: After enemy attacks, take all of their Buffs."
本角色血量归零时减少1层，层数归零时移除身上的延命。,"When this character's HP reaches 0, remove 1 stack, when stack count reaches 0, remove Undead."
本角色血量归零时减少1层，层数归零时移除身上的延命。,"When this character's HP reaches 0, remove 1 stack, when stack count reaches 0, remove Undead."
敏感：本角色的行动冷却时间被调整时，立即行动1次。,"Sensitive: When this character's cooldown is adjusted, immediately cast 1-orb skill."
本角色回合结束时，若该回合数为3的倍数，获得拟像。,"When this character's turn is over, if the turn count is a multiple of 3, grant Duplicate."
本角色回合结束时，若该回合数为2/3/5的倍数，金、黑、白位角色获得晕眩。,"When this character's turn is over, if the turn count is a multiple of 2/3/5, grant gold/black/white character Stun."
本角色回合结束时，若该回合数为3的倍数，重整操作区。,"When this character's turn is over, if the turn count is a multiple of 3, reset orb configuration. "
生命领域：玩家回合开始时，饱食度-1，若玩家角色血量高于80%，技能效果增加50%。,"Life Area: Upon player's turn, Stamina -1. If player character's HP is higher than 80%, skill power increase by 50%."
饥饿幻觉：玩家饱食度低于80，技能效果减少60%。,"Hallucination: If player's Stamina is lower than 80, skill power decrease by 60%."
燥热：角色施展消魂技能后+1饱食度-1精神值。,"Hot and Dry: After a character casts an orb skill, Vitality -1, Stamina +1"
清凉：角色施展消魂技能后+1精神值-1饱食度。,"Cool: After a character casts an orb skill, Vitality +1, Stamina -1"
出血：战斗后不会移除，己方回合开始时失去现有血量的3%，并使精神值-1。,"Bleed: Will not be removed at the end of the battle. Upon player's turn, lose 3% of their current HP, Vitality -1"
暗影：若玩家精神值高于80，攻击本角色的效果增加80%。,"Shadow: If player's Vitality is higher than 80, upon incoming damage skill, attacker skill power increase by 80%."
恶心：每次本角色行动后玩家精神值-1。,"Disgusting: When this character casts skill, player's Vitality -1. "
金色密钥：免疫我方角色伤害。使用带有金色密钥的的魂芯，方可伤害本角色。本角色行动时对随机一个金色魂芯赋予金色密钥。,"Secret Gold Lock: Immune to allies damage. Only when using an orb that has Secret Gold Key can this character be damaged. Upon casting skill, grant 1 random gold orb Secret Gold Key. "
黑色密钥：免疫我方角色伤害。使用带有黑色密钥的的魂芯，方可伤害本角色。本角色行动时对随机一个黑色魂芯赋予黑色密钥。,"Secret Black Lock: Immune to allies damage. Only when using an orb that has Secret Black Key can this character be damaged. Upon casting skill, grant 1 random black orb Secret Black Key. "
白色密钥：免疫我方角色伤害。使用带有白色密钥的的魂芯，方可伤害本角色。本角色行动时对随机一个白色魂芯赋予白色密钥。,"Secret White Lock: Immune to allies damage. Only when using an orb that has Secret White Key can this character be damaged. Upon casting skill, grant 1 random white orb Secret White Key. "
密钥：免疫我方角色伤害。使用带有密钥的魂芯，方可伤害本角色。本角色行动时对随机一个魂芯赋予密钥。,"Secret Lock: Immune to allies damage. Only when using an orb that has Secret Key can this character be damaged. Upon cast skill, grant 1 random orb Secret Key. "
,
蹦跳菇爸爸死亡后引起的爆炸将击杀所有玩家角色，不会伤害其他蹦跳菇,"Upon death of Father Boomshroom, the ensuing explosion will trigger death of all player characters. It will not damage other Boomshrooms."
尸偶：无法对本角色施加撕裂与中毒。,Ragdoll: Unaffected by Tear and Poison.
本角色施展技能时，会施展2次。,"Upon cast skill, cast skill again. "
血量高于30%时，此角色不会因敌方角色的攻击而受伤。,"If higher than 30% HP, take no damage from damage skills."
此角色不会因敌方角色的攻击而受伤。,Will not be damaged by player characters' damage skills.
强力反击：本角色被玩家角色攻击后立即执行1次行动，且1回合可进行多次反击。,"Power Retaliate: Upon incoming damage skill (Advisor Skill not included) from player character, trigger skill 1 time. Can trigger multiple Retalitates within turn."
每次施展叠盾或治愈技能会触发本角色行动1次。,"Upon cast Heal or grant Armor skill, trigger skill 1 time"
本角色被玩家场上角色攻击后立即执行1次行动。,"Upon incoming damage skill (Advisor Skill not included), trigger skill 1 time."
本角色被玩家场上有弱化或易伤的角色攻击后立即执行1次行动。,"Upon incoming damage skill (Advisor Skill not included), if attacker has Exhaust or Vulnerability, trigger skill 1 time."
强力反击：本角色被玩家角色攻击后立即执行1次行动，且1回合可进行多次反击。,"Power Retaliate: Upon incoming damage skill (Advisor Skill not included) from player character, trigger skill 1 time. Can trigger multiple Retalitates within turn."
强力反击：本角色被玩家角色攻击后立即执行1次行动，且1回合可进行多次反击。,"Power Retaliate: Upon incoming damage skill (Advisor Skill not included) from player character, trigger skill 1 time. Can trigger multiple Retalitates within turn."
本角色死亡前立即执行1次行动。,"Upon death, trigger skill 1 time."
同伴死亡时，本角色会施展全体攻击。,"Upon death of ally, trigger Attack against all player characters."
玩家角色死亡时，本角色补满血。,"Upon death of player character, heal self to full HP."
本角色死亡时，招唤一至两位赤狼同伴。,"Upon death, summon 1 or 2 allied red wolves. "
本角色被攻击后，获得3回合弱化。,"Upon incoming damage skill, grant self Exhaust for 3 turns. "
