
##### Table #####,Adventure
82,傑羅姆 共鳴三階取得
83,蠢熊勇士 共鳴三階取得
84,夏爾 SP 共鳴三階取得
85,【菲蕾德翠卡】曾盛開在啼林谷的花朵，後因學院的研究導致生態異變，已逾百年無人見過
86,莫里斯 共鳴三階取得
87,蘇菲 共鳴三階取得
88,盧恩 共鳴三階取得
89,【海市蜃樓的寶藏】取得
90,《萬象更新慶端午》活動取得
91,米莎 共鳴三階取得
92,戴菲斯 共鳴三階取得
93,甲申 共鳴三階取得
94,洛 共鳴三階取得
95,娜雅 MZ 共鳴三階取得
96,雪爾森 MZ 共鳴三階取得
97,安潔莉亞 MZ 共鳴三階取得
98,希歐 MZ 共鳴三階取得
99,於《盛夏夢幻假期》活動，照下紳士尊師的英姿取得。
100,瑪莉亞 共鳴三階取得
101,泉 SP 共鳴三階取得
102,雷薩 共鳴三階取得
103,雪莉 SP 共鳴三階取得
104,黛安娜 共鳴三階取得
105,蘇菲 SP 共鳴三階取得
106,瓊安 共鳴三階取得
107,芙蕾莉卡 SP 共鳴三階取得
108,PAFF 共鳴三階取得
109,NEKO#ΦωΦ 共鳴三階取得
110,Nora 共鳴三階取得
111,Ivy 共鳴三階取得
112,克拉克 共鳴三階取得
113,《滿月奇案搜查線》活動取得
114,【南瓜王的寶藏 】取得
115,幻境試煉成就《符文見習高級合格》取得
116,幻境試煉成就《符文學徒高級合格》取得
117,幻境試煉成就《符文學徒高級優等》取得
118,幻境試煉成就《符文學徒中級優等》取得
119,幻境試煉成就《符文學徒初級優等》取得
120,幻境試煉成就《符文首席高級合格》取得
121,幻境試煉成就《符文首席特級合格》取得
122,幻境試煉成就《符文首席高級優等》取得
123,幻境試煉成就《符文首席特級優等》取得
124,幻境試煉成就《符文首席中級優等》取得
125,幻境試煉成就《符文首席初級優等》取得
126,《聖誕勇者大冒險》活動取得
127,《Reset》活動取得
128,《Reset》活動取得
129,《Reset》活動取得
130,《Reset》活動取得
131,《小旅販爭未來》活動取得
132,《小旅販爭未來》活動取得
133,《小旅販爭未來》活動取得
134,【怦然心動禮盒】取得
135,瑪莉亞 SP 共鳴三階取得
136,米蘭達 共鳴三階取得
137,傑羅姆 SP 共鳴三階取得
138,璃 MZ 共鳴三階取得
139,芙蕾莉卡 MZ 共鳴三階取得
140,黯月 MZ 共鳴三階取得
141,泉 MZ 共鳴三階取得
142,卷雲 共鳴三階取得
143,汀朵伊姆 共鳴三階取得
144,勇鉉 共鳴三階取得
145,吉哈薩哈 共鳴三階取得
146,瓊安 SP 共鳴三階取得
147,梨花 共鳴三階取得
148,秀賢 共鳴三階取得
149,艾利歐 SP 共鳴三階取得
150,雅辛托斯 SP 共鳴三階取得
151,特殊活動取得
152,《巴爾札克的遺產》活動取得
153,《巴爾札克的遺產》活動取得
154,累計登入1000日取得
155,《盛夏夢幻假期》活動取得
157,《二週年票選活動》獎勵
158,《二週年票選活動》獎勵
159,《二週年票選活動》獎勵
160,《二週年票選活動》獎勵
161,《二週年票選活動》獎勵
162,《二週年票選活動》獎勵
163,《酷夏熱浪盛典》活動取得
164,《酷夏熱浪盛典》活動取得
165,《酷夏熱浪盛典》活動取得
166,《酷夏熱浪盛典》活動取得
167,《酷夏熱浪盛典》活動取得
168,《酷夏熱浪盛典》活動取得
169,《非關命運關乎愛》活動取得
170,《非關命運關乎愛》活動取得
171,《非關命運關乎愛》活動取得
172,【第三季紀念禮盒 】取得
173,累積充值福利活動取得
174,累積充值福利活動取得
175,累積充值福利活動取得
176,【南瓜禮盒 】取得
177,《尋秘驚魂之夜 》活動取得
178,《聖誕心跳物語》活動取得
179,《聖誕心跳物語》活動取得
180,《聖誕心跳物語》活動取得
181,《聖誕心跳物語》活動取得
182,普吉 SP 共鳴三階取得
183,雪爾森 SP 共鳴三階取得
184,揚波 SP 共鳴三階取得
185,夏洛克 SP 共鳴三階取得
186,羋羋 共鳴三階取得
187,艾斯 共鳴三階取得
188,雷薩 SP 共鳴三階取得
189,堯 共鳴三階取得
190,戰之介 共鳴三階取得
191,米蘭達 SP 共鳴三階取得
192,黛安娜 MZ 共鳴三階取得
193,貓眼 MZ 共鳴三階取得
194,諾瓦 MZ 共鳴三階取得
195,傑羅姆 MZ 共鳴三階取得
196,貝雅塔 共鳴三階取得
197,千雪 共鳴三階取得
198,《嫩芽奇遇記》活動取得
199,《嫩芽奇遇記》活動取得
200,《嫩芽奇遇記》活動取得
201,《嫩芽奇遇記》活動取得
202,《嫩芽奇遇記》活動取得
203,《埋漠之詩》活動取得
204,《埋漠之詩》活動取得
205,《長夏大運動會》活動取得
206,《長夏大運動會》活動取得
207,《長夏大運動會》活動取得
208,《長夏大運動會》活動取得
209,《長夏大運動會》活動取得
210,《第一次當魔法師就上手》活動取得
211,累計登入2000日取得
212,《無盡討伐》活動取得
213,《無盡討伐》活動取得
214,洛 SP 共鳴三階取得
215,羅傑 SP 共鳴三階取得
216,《有妹妹的哥哥像塊寶》活動取得
217,黛安娜 SP 共鳴三階取得
218,海德 SP 共鳴三階取得
219,《無盡討伐》活動取得
220,《無盡討伐》活動取得
221,【雪境聖誕寶箱】取得
222,ConneR 共鳴三階取得
223,Cherry 共鳴三階取得
224,【新春賜福寶箱】取得
225,羋羋 SP 共鳴三階取得
226,雷亞十週年紀念音樂會限定禮
227,《嫩芽奇遇記》活動取得
228,《嫩芽奇遇記》活動取得
229,《嫩芽奇遇記》活動取得
230,《嫩芽奇遇記》活動取得
231,娜雅 SP 共鳴三階取得
232,《青夜幽夢》活動取得
233,《無盡討伐》活動取得
234,《無盡討伐》活動取得
235,《無盡討伐》活動取得
236,汀朵伊姆 SP 共鳴三階取得
237,四週年紀念活動取得
238,《埋漠之詩》活動取得
239,《埋漠之詩》活動取得
240,《埋漠之詩》活動取得
241,"黑暗中的正義頭像
《殘夜·不歸人》活動取得"
242,堯 SP 共鳴三階取得
243,梨花 SP 共鳴三階取得
244,《長夏大運動會》活動取得
245,汀朵伊姆 MZ 共鳴三階取得
246,雪莉 MZ 共鳴三階取得
247,米蘭達 MZ 共鳴三階取得
248,瓊安 MZ 共鳴三階取得
249,《真夜華祭手帳》取得
250,《真夜華祭手帳》取得
251,《涼夏盛夜試膽祭》活動取得
252,《涼夏盛夜試膽祭》活動取得
253,《涼夏盛夜試膽祭》活動取得
254,《涼夏盛夜試膽祭》活動取得
255,《涼夏盛夜試膽祭》活動取得
256,《涼夏盛夜試膽祭》活動取得
257,刃 SP 共鳴三階取得
258,秀賢 SP 共鳴三階取得
259,米莎 SP 共鳴三階取得
260,【閃耀月光寶箱】取得
261,《榮耀試煉》活動取得
262,貝雅塔 SP 共鳴三階取得
263,《無盡討伐》活動取得
264,《無盡討伐》活動取得
265,雨果 共鳴三階取得
266,《惡徒•惡屠》活動取得
267,《初雪茫茫尋美行》活動取得
268,《無盡討伐》活動取得
269,《無盡討伐》活動取得
270,《無盡討伐》活動取得
271,《來自幸福的邀請》取得
272,《聖誕佳音》取得
273,《無盡討伐》活動取得
274,《無盡討伐》活動取得
275,千雪 SP 共鳴三階取得
276,安妲提爾 共鳴三階取得
277,豐國 SP 共鳴三階取得
278,《榮耀試煉》活動取得
279,《溫泉映月夜》取得
280,《激熱春泉花撩亂》活動取得
281,《激熱春泉花撩亂》活動取得
282,《激熱春泉花撩亂》活動取得
283,《激熱春泉花撩亂》活動取得
284,《激熱春泉花撩亂》活動取得
285,《激熱春泉花撩亂》活動取得
286,《激熱春泉花撩亂》活動取得
287,《激熱春泉花撩亂》活動取得
288,堯 OS 共鳴三階取得
289,泉 OS 共鳴三階取得
290,諾瓦 OS 共鳴三階取得
291,希歐 OS 共鳴三階取得
292,《激熱春泉花撩亂》活動取得
293,艾斯 SP 共鳴三階取得
294,《榮耀試煉》活動取得
295,塔季蘭黛 共鳴三階取得
296,梅玉 SP 共鳴三階取得
297,格瑞塔 共鳴三階取得
298,卡蓮 SP 共鳴三階取得
299,《無盡討伐》活動取得
300,《霞月流光》取得
301,《無盡討伐》活動取得
302,《五週年感謝祭》取得
303,《五週年任務》取得
304,碎牙 SP 共鳴三階取得
305,《孤羊謀生記》活動取得
306,芭芭拉 SP 共鳴三階取得
307,薇多蒂爾 共鳴三階取得
308,《榮耀試煉》活動取得
309,西奧多 SP 共鳴三階取得
310,威廉 SP 共鳴三階取得
311,《涼夏盛夜試膽祭》活動取得
312,《涼夏盛夜試膽祭》活動取得
313,《涼夏盛夜試膽祭》活動取得
314,《涼夏盛夜試膽祭》活動取得
315,《涼夏盛夜試膽祭》活動取得
316,《涼夏盛夜試膽祭》活動取得
317,《帝國盛宴》取得
318,《醫無止境》活動取得
319,蕩山 共鳴三階取得
320,《極速狂想》取得
321,甲申 SP 共鳴三階取得
322,《第一次當魔法師就上手》活動取得
323,《第一次當魔法師就上手》活動取得
324,吉哈薩哈 SP 共鳴三階取得
325,《雷亞12週年紀念》取得
326,《無盡討伐》活動取得
327,《無盡討伐》活動取得
328,愛黛兒 共鳴三階取得
329,戰之介 SP 共鳴三階取得
330,《尋秘驚魂之夜》活動取得
331,《轉瞬為風》取得
332,《冒險憧憬》取得
333,《尋秘驚魂之夜》活動取得
334,卷雲 SP 共鳴三階取得
335,《往日間奏》活動取得
336,薇多蒂爾 SP 共鳴三階取得
337,《無盡討伐》活動取得
338,《無盡討伐》活動取得
339,《無盡討伐》活動取得
340,《煙花盛放》取得
341,蕩山 SP 共鳴三階取得
342,《激熱春泉花撩亂》活動取得
343,《激熱春泉花撩亂》活動取得
344,《激熱春泉花撩亂》活動取得
345,《激熱春泉花撩亂》活動取得
346,《激熱春泉花撩亂》活動取得
347,《激熱春泉花撩亂》活動取得
348,《激熱春泉花撩亂》活動取得
349,《激熱春泉花撩亂》活動取得
350,《激熱春泉花撩亂》活動取得
351,《榮耀試煉》活動取得
352,《激熱春泉花撩亂》活動取得
353,《樂音初起》取得
354,愛黛兒 SP 共鳴三階取得
1001,於深入亞特拉斯，邀請菜鳥士兵加入後獲得。
1002,於深入亞特拉斯，邀請礦場商人加入後獲得。
1003,於深入亞特拉斯，邀請魔物觀察狂熱分子加入後獲得。
1004,於深入亞特拉斯，邀請魔物狩獵團員加入後獲得。
1005,於深入亞特拉斯，邀請賞金獵人軍官加入後獲得。
1006,於深入亞特拉斯，使用實驗體清除路上落石達20次。
1007,於深入亞特拉斯，使用迪蘭鼓舞士兵達5次。
1008,於深入亞特拉斯，使用希歐鼓舞士兵達5次。
1009,於炎日軍團，使用芙蕾莉卡鼓舞士兵達5次。
1010,於深入亞特拉斯，使用刃清除路上落石達20次。
1011,於晴空奇談遭遇失蹤的小孩，並完成任一結局
1012,於晴空奇談遭遇被勒索的商人，並完成任一結局
1013,於魔物大遷徙遭遇村莊與盜賊窟的事件，並完成任一結局
1014,於炎日軍團遭遇指揮官的困擾，並完成任一結局
1015,於決戰鬥獸之巔打贏冠軍
1016,於競技場獲勝達五次
1017,於市集使用收藏家的拼圖兌換
1018,於市集使用收藏家的拼圖兌換
1019,於市集使用收藏家的拼圖兌換
1020,於市集使用收藏家的拼圖兌換
1021,於市集使用收藏家的拼圖兌換
1022,於市集使用收藏家的拼圖兌換
1023,於市集使用收藏家的拼圖兌換
1024,於市集使用收藏家的拼圖兌換
1025,於市集使用收藏家的拼圖兌換
1026,於市集使用收藏家的拼圖兌換
1027,於市集使用收藏家的拼圖兌換
1028,於市集使用收藏家的拼圖兌換
1029,於市集使用收藏家的拼圖兌換
1030,於市集使用收藏家的拼圖兌換
1031,於市集使用收藏家的拼圖兌換
1032,於市集使用收藏家的拼圖兌換
1033,於市集使用收藏家的拼圖兌換
1034,於市集使用收藏家的拼圖兌換
1035,於市集使用收藏家的拼圖兌換
1036,於市集使用收藏家的拼圖兌換
1037,於市集使用收藏家的拼圖兌換
1038,於市集使用收藏家的拼圖兌換
1039,於市集使用收藏家的拼圖兌換
1040,於市集使用收藏家的拼圖兌換
1041,於市集使用收藏家的拼圖兌換
1042,於市集使用收藏家的拼圖兌換
1043,於市集使用收藏家的拼圖兌換
1044,於市集使用收藏家的拼圖兌換
1045,於市集使用收藏家的拼圖兌換
1046,於市集使用收藏家的拼圖兌換
1047,於市集使用收藏家的拼圖兌換
1048,於市集使用收藏家的拼圖兌換
1049,於市集使用收藏家的拼圖兌換
1050,於市集使用收藏家的拼圖兌換
1051,於市集使用收藏家的拼圖兌換
1052,於市集使用收藏家的拼圖兌換
1053,於市集使用收藏家的拼圖兌換
1054,於市集使用收藏家的拼圖兌換
1055,於市集使用收藏家的拼圖兌換
1056,於市集使用收藏家的拼圖兌換
1057,於市集使用收藏家的拼圖兌換
1058,於市集使用收藏家的拼圖兌換
1059,於市集使用收藏家的拼圖兌換
1060,於市集使用收藏家的拼圖兌換
1061,於市集使用收藏家的拼圖兌換
1062,於市集使用收藏家的拼圖兌換
##### Table #####,AVGText
Key,Chinese
String,String
##### Data #####
rei_text_001        ,
##### Table #####,BaseBuff
Key,Chinese
String,String
##### Data #####
format,【{0}】：{1}
TRIGGER,觸發限制
limS1_3,下個我方回合開始前，最多觸發3次一魂技能。
limS1_3_0,每回合最多觸發3次一魂技能。
limS1_5_0,每回合最多觸發5次一魂技能。
limS1_1,下個我方回合開始前，最多觸發1次一魂技能。
limS1_2,下個我方回合開始前，最多觸發2次一魂技能。
limS1_4,下個我方回合開始前，最多觸發4次一魂技能。
limSelf_3_info,下個我方回合開始前，最多觸發3次自身技能。
limS2_1_info,下個我方回合開始前，最多觸發1次二魂技能。
limS2_1,下個我方回合開始前，最多觸發1次二魂技能。
limS2_2,下個我方回合開始前，最多觸發2次二魂技能。
limS2_3,下個我方回合開始前，最多觸發3次二魂技能。
limS2_4,下個我方回合開始前，最多觸發4次二魂技能。
limE3_1,下個我方回合開始前，最多觸發1次三魂技能。
limS3_1,下個我方回合開始前，最多觸發1次四魂技能。
limBNA_1_info,下個我方回合開始前，每名我方角色最多獲得1次強化
limBNA_2_info,下個我方回合開始前，每名我方角色最多獲得2次強化
limSameTarget_1,下個我方回合開始前，本技能對同一個目標不會重複觸發。
limWar_3_info,下個我方回合開始前，每個我方角色最多獲得3次戰意
lim_h0234s5_P1,下個我方回合開始前，最多觸發3次一魂技能與1次四魂技能。
lim_h0229s5_A1,下個我方回合開始前，每名我方角色最多獲得1次領袖。
lim_h0152s5_a2_S3,下個我方回合開始前，徒手狀態和持武狀態各最多觸發1次一魂技能。
limSkill_2,下個我方回合開始前，本技能最多觸發2次。
limS1_1_SG,下個我方回合開始前，最多觸發1次自身與金位一魂技能。
limS1_1_SB,下個我方回合開始前，最多觸發1次自身與黑位一魂技能。
limS1_1_SW,下個我方回合開始前，最多觸發1次自身與白位一魂技能。
limS3_1_SP,下個我方回合開始前，最多觸發2次特殊攻擊與1次四魂技能。
limS3_2_SP,下個我方回合開始前，最多觸發3次特殊攻擊與1次四魂技能。
lim_h0236s5_r2_P1,下個我方回合開始前，最多觸發2次1魂技能。每位同伴攻擊最多觸發1次冷卻時間-1。
lim_t0252s5_P1,下個我方回合開始前，最多觸發1次一魂技能與1次魂芯數最高的技能。
lim_t0252_s1,下個我方回合開始前，最多觸發1次一魂技能與1次冷卻時間減少。
lim_A1CD,下個我方回合開始前，最多觸發1次冷卻時間減少。
limS4_1_SP,下個我方回合開始前，最多觸發1次特殊攻擊。
lim_h0237s5_P1,下個我方回合開始前，最多觸發1次二魂技能，每個冷卻時間減少效果最多觸發1次。
lim_h0237s5_r2_P1,下個我方回合開始前，最多觸發2次二魂技能，每個冷卻時間減少效果最多觸發1次。
lim_h0256s5_P1,下個我方回合開始前，最多觸發1次冷卻時間減少與1次怒氣。
lim_h0048s5_a2_P1,下次我方回合開始前，最多觸發1次自身四魂技能與1次護盾歸零效果。
lim_S2_2_B,下次我方回合開始前，最多觸發2次黑位角色二魂技能。
BNA,強化
DFU,減傷
DEX,靈巧
ATA,轉盾
ATB,盾轉
REG,再生
RAG,怒氣
WAR,戰意
LD,領袖
NFD,弱化
WK,易傷
TER,撕裂
POI,中毒
STU,暈眩
TAU,嘲諷
UND,延命
MIC,擬像
ENC,安可
RMbf,隨機正面
RMnf,隨機負面
ATK_NOR,基礎攻擊
ATK_BRK,破甲攻擊
ATK_IGN,穿透攻擊
ATK_DRA,吸血
DEF_HEA,治癒
DEF_ARM,疊盾
STO_G,轉成金魂
STO_B,轉成黑魂
STO_W,轉成白魂
STO_R,移除魂芯
STO_A,轉成指定站位
TRI_1,一魂
TRI_2,二魂
TRI_3,三魂
TRI_4,四魂
TRI_6,六魂
IZM,妖力
BLA,暗幕
CLK,永生鐘
SHP,銳利
STM,熱氣蒸騰
BLK,格擋
ABLK,進階格擋
GEAR,檔位
RUST,鏽蝕
STB,踉蹌
BNA_info,每層強化提升本角色30%的技能效果，最高3層。
DFU_info,被攻擊時，每層減傷降低30%技能效果，最高3層。
DEX_info,被攻擊時，每層靈巧有30%機會閃躲傷害，最高3層。
ATA_info,被攻擊後，每層轉盾獲得總護盾值10%的護盾，最高3層。
ATB_info,自身回合結束時，每層盾轉讓本角色獲得當前護盾量30%的血量，最高3層。
REG_info,自身回合結束時，每層再生恢復總血量的10%，最高3層，被攻擊後解除。
RAG_info,每層怒氣提升本角色30%的技能效果，被攻擊後增加1層，最高3層。
WAR_info,每層戰意提升本角色30%的技能效果，施展技能後增加1層，最高3層。
LD_info,每層領袖提升本角色同伴30%的技能效果，最高3層。
NFD_info,每層弱化降低本角色30%的技能效果，最高3層。
WK_info,被攻擊時，每層易傷提升30%技能效果，最高3層。
TER_info,施展技能後，每層撕裂失去現有10%血量，最高3層。
POI_info,自身回合結束時，每層中毒失去現有10%血量，最高3層，被治癒後解除。
STU_info,無法施展技能，被攻擊後解除。
TAU_info,本角色成為優先被指定的目標。
UND_info,使角色不會死亡，並大幅降低治癒與疊盾技能效果，此效果不會在戰鬥結束時移除。
MIC_info,被攻擊時，技能效果下降99%，並移除自身擬像。
ENC_info,提升本角色30%的技能係數，最高1層。
RMbf_info,包含【強化】、【減傷】、【靈巧】、【轉盾】、【盾轉】、【再生】、【怒氣】、【戰意】、【領袖】。
RMnf_info,包含【弱化】、【易傷】、【撕裂】、【中毒】、【暈眩】、【汙染】、【出血】、【寒冷】、【燃燒】。
IZM_info,每層妖力提升開傘狀態三魂技能係數30%，最高2層。
BLA_info,我方角色攻擊敵方角色時，每層暗幕提升5%技能效果；我方角色被敵方角色攻擊時，每層暗幕減2%技能效果，最高10層(場地效果，不會在戰鬥結束後移除)。
CLK_info,每層永生鐘提升本角色30%技能效果，最高3層。
SHP_info,每層銳利提升本角色10%技能效果，施展技能後提升1層，最高30層。
STM_info,特定角色技能效果會因為熱氣蒸騰層數而變化，最高20層(場地效果，不會在戰鬥結束後移除)。
BLK_info,被攻擊時，降低30%技能效果。
ABLK_info,被攻擊時，降低40%技能效果。
GEAR_info,每層使本角色和參謀的攻擊技能效果提升10%，最高5層。
RUST_info,被攻擊時，每層鏽蝕增加10%技能效果，最高30層。
STB_info,有此狀態的角色被攻擊後會獲得2回合暈眩。
##### Table #####,BaseSkillInfo
Key,Chinese
String,String
##### Data #####
h0315s5_S1_skillinfo,引領時尚潮流，賦予我方指定角色3回合$BUFF:(TAU)和3回合2層$BUFF:(DFU)。
h0315s5_S2_skillinfo,引領時尚潮流，疊盾我方全體($ARM:1.2)，賦予自身5回合$BUFF:(LD)
h0315s5_S3_skillinfo,引領時尚潮流，賦予我方指定角色永久$BUFF:(TAU)和3回合3層$BUFF:(ATA)，並觸發該角色4魂技能。$TRIG:(lim_S3_1)
h0315s5_P1_skillinfo,永久$BUFF:(TAU)。我方角色施展技能後，穿透攻擊(1)所有同伴。$TRIG:(lim_9)。擁有$BUFF:(TAU)的同伴被攻擊時，若是本回合內的第2/5/8次，觸發該角色的二魂技能。
t0317s5_S1_skillinfo,"戰慄的神威。賦予我方指定角色三回合$BUFF:(UND)，若該角色血量大於10%，額外賦予該角色3層BUFF:(POI)、3層$BUFF:(TER)、3層$BUFF:(WK)、3層$BUFF:(NFD)。
將4個我方指定角色魂芯轉為白色。"
t0317s5_S3_skillinfo,"戰慄的神威。觸發所有擁有$BUFF:(UND)同伴的四魂技能，並賦予1層BUFF:(POI)、1層$BUFF:(TER)、1層$BUFF:(WK)、1層$BUFF:(NFD)。$TRIG:(lim_S3_1)
所有死亡同伴的復活魂芯數-10。"
t0317s5_E6_skillinfo,戰慄的神威。移除所有白色魂芯，擊殺所有同伴並賦予9回合$BUFF:(UND)，然後觸發所有同伴魂芯數最高的技能。$TRIG:(lim_S3_1)$TRIG:(lim_S3_1)
t0317s5_P1_skillinfo,"本角色自身不受$BUFF:(POI)、$BUFF:(TER)、$BUFF:(WK)、$BUFF:(NFD)影響。
我方角色血量越低，技能效果提升越多，最多提升100%技能效果。"
h0320s5_S1_skillinfo,天才的義務，穿透攻擊敵方首位($ATK:1)並賦予3回合2層$BUFF:(WK)和3回合2層$BUFF:(NFD)
h0320s5_S2_skillinfo,天才的義務，穿透攻擊敵方首位($ATK:1.8)並賦予5回合2層$BUFF:(POI)和5回合2層$BUFF:(TER)，施放技能後若敵方目標擁有大於等於四種負面狀態，觸發所有同伴一魂技能。$TRIG:(lim_S1_2)
h0320s5_E3_skillinfo,天才的義務，穿透攻擊敵方首位$ATK:2.5)並延長敵方首位所有負面狀態3回合，左側獲得6個指定角色的魂芯，然後各獲得另外4個角色的魂芯。
h0320s5_P1_skillinfo,我方回合開始時，若敵方全體皆有大於等於四種負面狀態，觸發同伴三魂技能並移除我方全體負面狀態。
r0034s5_a2_A1_skillinfo,夏洛克助陣，我方白位角色技能係數提升$ARG1%。
h0224s5_P1_skillinfo,我方回合開始時，賦予我方指定角色2回合$BUFF:(NFD)並觸發其一魂技能；若我方回合開始時，我方指定角色身上有$ARG1種不同的負面狀態，額外觸發羋羋的一魂技能。
h0224s5_A1_skillinfo,羋羋助陣，我方回合開始時，賦予我方指定角色$BUFF:(NFD)並觸發其一魂技能。
